tweet,sentiment_label
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'RT @ConMijente: It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful. https://t.co/aJ8Is9KmQR',Neutral
b'Julian Castro is one of the candidates I like so far. #2020Election #Democrats #DemocraticPresidentialCandidates\xe2\x80\xa6 https://t.co/C2K4uIqyzM',Positive
b'@DanCrenshawTX @benshapiro Just when you thought that the left was already out of the closest on open boarders, Jul\xe2\x80\xa6 https://t.co/VmZn1jqWye',Neutral
b"#Juli\xc3\xa1nCastro, from humble beginnings to the #president's #cabinet https://t.co/By8B5Whjzv via @msnbc #News\xe2\x80\xa6 https://t.co/2v7ITMQcns",Negative
b'2020 Democrat Candidate Juli\xc3\xa1n Castro Unveils Plan To Decriminalize Illegal Entry Into Country, Grant Citizenship P\xe2\x80\xa6 https://t.co/g27dzzQcJE',Negative
