tweet,sentiment_label
b'4:39 Pete Buttigieg is raising serious cash. Is he a serious 2020 contender?\nhttps://t.co/l6E4lmeJkr #2020election\xe2\x80\xa6 https://t.co/ia83ynBjEc',Negative
b'RT @AshPratte: Why @PeteButtigieg could be the candidate in the wings. @NBCNewsTHINK @NBCNews https://t.co/8tavchamo6 #Buttigieg #2020Elect\xe2\x80\xa6',Neutral
b'RT @DearAwana: Do me a favor and look up Pete Buttigieg #2020Election',Neutral
b'"Forgive me if I like the idea of having someone in the White House who understands what I\xe2\x80\x99ve been through, and who\xe2\x80\xa6 https://t.co/JPhAhUUjEF',Neutral
b'The religious left has gotten giddy about South Bend Mayor Pete Buttigieg, but campaign infrastructure and policy m\xe2\x80\xa6 https://t.co/kzG06HkqVv',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Andrew Sullivan: Is Pete Buttigieg a Transformational Candidate?\nhttps://t.co/i96C20mn5k  #petebuttigieg\xe2\x80\xa6 https://t.co/qvBsSUDoiA',Neutral
b"Is 'Mayor Pete' too good to be true?\nhttps://t.co/SsjARYiMUL #mayorpete #petebuttigieg #2020election https://t.co/TdTkoRmas0",Positive
b'.@PeteButtigieg to Vice President Mike Pence: If you have a problem with who I am, your quarrel is with my Creator\xe2\x80\xa6 https://t.co/dR3zIpNYFw',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
