tweet,sentiment_label
b'RT @MooPersists: Our America and our democracy is under attack. \nKAMALA HARRIS is speaking the truth and calling on us to do the same.\n\xe2\x9e\x96See\xe2\x80\xa6',Neutral
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b'My latest straw poll ...\n\nElizabeth Warren\nKamala Harris\n:\nBernie Sanders\nEric Swalwell\nAmy Klobuchar\nSherrod Brown\xe2\x80\xa6 https://t.co/QeChhcyXXd',Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b'RT @scarebaby: Get behind Kamala Harris 2020!  Visit our page to see more like this.\n\nhttps://t.co/QbmZ8aLYPQ\n\n#KamalaHarris2020 \n#Kamala20\xe2\x80\xa6',Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
b"RT @NahBabyNah: WE ARE, \nBUT NOT A #DEMOCRATS #FemiNazi TICKET \n\nAnalysis: #KamalaHarris wants to find out if we're ready for an all-female\xe2\x80\xa6",Positive
